Sub_code,State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
ACT2600,ACT,2600,5909,668405382,1062,2597163,113116.4972,2445.539548
ACT2601,ACT,2601,3046,199996768,344,650441,65658.82075,1890.81686
ACT2602,ACT,2602,21123,1609450057,3866,6784939,76194.1986,1755.028195
ACT2603,ACT,2603,6921,833462528,1305,3179504,120425.1594,2436.401533
ACT2604,ACT,2604,8430,776610757,1807,3398902,92124.64496,1880.964029
ACT2605,ACT,2605,7785,712584101,1498,2922622,91532.96095,1951.016021
ACT2606,ACT,2606,7189,546627373,1502,2842069,76036.63555,1892.189747
ACT2607,ACT,2607,9564,777246264,1907,3777479,81267.90715,1980.848977
ACT2608,ACT,2608,69,5391370,13,19707,78135.7971,1515.923077
ACT2609,ACT,2609,585,41895143,140,270441,71615.62906,1931.721429
ACT2610,ACT,2610,68,3675638,16,32391,54053.5,2024.4375
ACT2611,ACT,2611,20581,1580143660,4560,8905794,76776.81648,1953.025
ACT2612,ACT,2612,11381,948414635,1984,3446737,83333.15482,1737.266633
ACT2614,ACT,2614,13029,936259236,2450,4531586,71859.63896,1849.626939
ACT2615,ACT,2615,28465,1866007317,6647,12534596,65554.44641,1885.752369
ACT2616,ACT,2616,141,10540741,26,58218,74757.02837,2239.153846
ACT2617,ACT,2617,23463,1533512471,4837,8930210,65358.7551,1846.229068
ACT2900,ACT,2900,2145,147334008,491,868586,68687.18322,1769.014257
ACT2901,ACT,2901,81,6547460,16,34359,80832.83951,2147.4375
ACT2902,ACT,2902,9837,664143184,2090,4088468,67514.8098,1956.204785
ACT2903,ACT,2903,6149,417426878,1301,2490062,67885.32737,1913.960031
ACT2904,ACT,2904,8708,634830461,1924,3636991,72901.9822,1890.327963
ACT2905,ACT,2905,18849,1260923266,4593,9229578,66896.02982,2009.487916
ACT2906,ACT,2906,11685,798941304,2992,5923956,68373.23954,1979.931818
ACT2911,ACT,2911,3066,236125660,893,1757878,77014.24005,1968.508399
ACT2912,ACT,2912,4882,295600043,1120,2056860,60548.96415,1836.482143
ACT2913,ACT,2913,24209,1681323431,6236,11925744,69450.34619,1912.402822
ACT2914,ACT,2914,19224,1372893895,5442,10625608,71415.62084,1952.518927
ACTACT other,ACT,ACT other,234,15506202,63,166352,66265.82051,2640.507937
NSW1225,NSW,1225,54,24078839,7,43130,445904.4259,6161.428571
NSW1230,NSW,1230,50,3985878,2,8897,79717.56,4448.5
NSW1235,NSW,1235,56,3515518,6,14416,62777.10714,2402.666667
NSW1240,NSW,1240,58,3186062,5,7861,54932.10345,1572.2
NSW1335,NSW,1335,60,9108889,9,35729,151814.8167,3969.888889
NSW1355,NSW,1355,135,9493241,21,53960,70320.3037,2569.52381
NSW1360,NSW,1360,67,8654061,6,32298,129165.0896,5383
NSW1455,NSW,1455,49,3827459,8,36241,78111.40816,4530.125
NSW1481,NSW,1481,61,4686450,7,35043,76827.04918,5006.142857
NSW1485,NSW,1485,56,2956782,10,20623,52799.67857,2062.3
NSW1495,NSW,1495,76,6049004,12,34840,79592.15789,2903.333333
NSW1499,NSW,1499,50,5913292,4,2891,118265.84,722.75
NSW1585,NSW,1585,62,5487674,10,46561,88510.87097,4656.1
NSW1655,NSW,1655,71,15093664,9,32681,212586.8169,3631.222222
NSW1660,NSW,1660,64,5181581,12,31411,80962.20313,2617.583333
NSW1675,NSW,1675,48,5061035,8,61793,105438.2292,7724.125
NSW1710,NSW,1710,65,3381133,7,44266,52017.43077,6323.714286
NSW1750,NSW,1750,51,2932893,15,34825,57507.70588,2321.666667
NSW1755,NSW,1755,66,4039192,16,38817,61199.87879,2426.0625
NSW1765,NSW,1765,77,5013992,13,45541,65116.77922,3503.153846
NSW1871,NSW,1871,71,3973368,19,73000,55962.92958,3842.105263
NSW2000,NSW,2000,23056,1816478952,1417,3908263,78785.52012,2758.124912
NSW2001,NSW,2001,298,32021329,31,89332,107454.1242,2881.677419
NSW2002,NSW,2002,67,3548965,7,21983,52969.62687,3140.428571
NSW2006,NSW,2006,74,5450351,10,32537,73653.39189,3253.7
NSW2007,NSW,2007,4807,244913527,403,959172,50949.35032,2380.079404
NSW2008,NSW,2008,6295,380727305,598,1312117,60480.90627,2194.175585
NSW2009,NSW,2009,9335,841997005,1119,3300299,90197.85806,2949.328865
NSW2010,NSW,2010,20404,1961449926,2430,6611938,96130.65703,2720.96214
NSW2011,NSW,2011,14402,1537743408,1785,5177684,106772.9071,2900.663305
NSW2012,NSW,2012,105,9136363,24,72369,87012.98095,3015.375
NSW2013,NSW,2013,80,6199113,26,90693,77488.9125,3488.192308
NSW2014,NSW,2014,78,7544330,17,55777,96722.17949,3281
NSW2015,NSW,2015,7940,693419456,1475,3604298,87332.42519,2443.591864
NSW2016,NSW,2016,8923,730472223,1259,3194282,81863.97209,2537.158062
NSW2017,NSW,2017,16422,1164616068,3034,8242406,70918.04092,2716.679631
NSW2018,NSW,2018,11277,716483778,2203,5915865,63534.96302,2685.36768
NSW2019,NSW,2019,8044,576722083,2165,6195152,71695.93274,2861.502079
NSW2020,NSW,2020,13364,777080452,2438,6272439,58147.29512,2572.780558
NSW2021,NSW,2021,10849,1508308537,1749,5347329,139027.4253,3057.363636
NSW2022,NSW,2022,9589,943457191,1414,4123163,98389.52873,2915.95686
NSW2023,NSW,2023,7319,1283019779,1162,3966594,175299.8742,3413.592083
NSW2024,NSW,2024,7637,1053449010,1410,4475148,137940.1611,3173.86383
NSW2025,NSW,2025,5193,963306945,788,2617475,185501.0485,3321.668782
NSW2026,NSW,2026,24207,2531038192,4519,14053349,104558.111,3109.836026
NSW2027,NSW,2027,5966,1209245883,740,2471433,202689.5546,3339.774324
NSW2028,NSW,2028,3536,723678474,560,1957139,204660.2019,3494.891071
NSW2029,NSW,2029,7008,916941389,1270,4303977,130842.0932,3388.958268
NSW2030,NSW,2030,9741,1953135209,1345,4850946,200506.643,3606.651301
NSW2031,NSW,2031,23043,2288151404,4528,12723729,99299.19733,2810.010822
NSW2032,NSW,2032,8153,553521975,1204,3199080,67891.8159,2657.043189
NSW2033,NSW,2033,7379,566622443,1187,3356285,76788.51376,2827.535805
NSW2034,NSW,2034,14475,1448408969,3038,9050888,100062.7958,2979.225806
NSW2035,NSW,2035,22157,1796298852,4336,11810233,81071.39288,2723.762223
NSW2036,NSW,2036,18330,1295667079,4257,11432462,70685.60169,2685.567771
NSW2037,NSW,2037,10448,920565294,1389,3487985,88109.23564,2511.148308
NSW2038,NSW,2038,6325,636240822,1191,3488216,100591.4343,2928.812762
NSW2039,NSW,2039,5926,672734953,1282,4040873,113522.6043,3152.00702
NSW2040,NSW,2040,14246,1360855992,2926,8470659,95525.48028,2894.962064
NSW2041,NSW,2041,11103,1492748112,1981,6601061,134445.4753,3332.18627
NSW2042,NSW,2042,13564,1080909623,1934,4577786,79689.59179,2367.004137
NSW2043,NSW,2043,6674,609594796,1147,2891450,91338.74678,2520.880558
NSW2044,NSW,2044,5522,394419176,1036,2606966,71426.86997,2516.376448
NSW2045,NSW,2045,4101,413659861,710,2180786,100868.0471,3071.529577
NSW2046,NSW,2046,16984,1519545498,3851,12416026,89469.23563,3224.104388
NSW2047,NSW,2047,8025,806789934,1699,5364500,100534.5712,3157.445556
NSW2048,NSW,2048,5287,445019035,893,2231122,84172.31606,2498.456887
NSW2049,NSW,2049,8067,648729393,1304,2980807,80417.67609,2285.894939
NSW2050,NSW,2050,5813,497462498,941,2328071,85577.58438,2474.03932
NSW2052,NSW,2052,130,2858075,5,8745,21985.19231,1749
NSW2057,NSW,2057,175,14299551,31,169245,81711.72,5459.516129
NSW2059,NSW,2059,182,21760340,30,125840,119562.3077,4194.666667
NSW2060,NSW,2060,11087,1421901382,1572,4589339,128249.4256,2919.426845
NSW2061,NSW,2061,4510,667933473,622,1973997,148100.5483,3173.628617
NSW2062,NSW,2062,4774,563353469,931,3005641,118004.4971,3228.400644
NSW2063,NSW,2063,4361,742155146,603,2255997,170180.0381,3741.288557
NSW2064,NSW,2064,6410,580404656,861,2116423,90546.74821,2458.098722
NSW2065,NSW,2065,22388,2408371646,3631,10351615,107574.2204,2850.899201
NSW2066,NSW,2066,22078,2393873876,4376,12642115,108428.0223,2888.965951
NSW2067,NSW,2067,17452,1421437271,2107,5358159,81448.38821,2543.027527
NSW2068,NSW,2068,11060,1387531694,1845,5953834,125454.9452,3227.010298
NSW2069,NSW,2069,9813,1199615695,1373,4192518,122247.5996,3053.545521
NSW2070,NSW,2070,9483,1088087254,1415,4200516,114740.8261,2968.562544
NSW2071,NSW,2071,8996,1009179947,1264,3586155,112180.9634,2837.147943
NSW2072,NSW,2072,5677,542264678,753,1957305,95519.58394,2599.342629
NSW2073,NSW,2073,11133,1234950200,1813,5743448,110926.9918,3167.924986
NSW2074,NSW,2074,15027,1637446718,2433,7515469,108966.974,3088.972051
NSW2075,NSW,2075,13713,1355107312,2323,7761581,98819.17246,3341.188549
NSW2076,NSW,2076,15915,1532191503,2738,8135849,96273.42149,2971.456903
NSW2077,NSW,2077,26471,1712212483,4464,9641020,64682.57652,2159.726703
NSW2079,NSW,2079,4990,346169559,1017,2581903,69372.65711,2538.744346
NSW2080,NSW,2080,1117,73890173,198,435160,66150.55774,2197.777778
NSW2081,NSW,2081,3440,239782620,702,1987285,69704.25,2830.890313
NSW2082,NSW,2082,3367,229926689,678,1965892,68288.29492,2899.545723
NSW2083,NSW,2083,1034,68240488,190,422229,65996.60348,2222.257895
NSW2084,NSW,2084,2520,262101793,464,1650459,104008.648,3557.023707
NSW2085,NSW,2085,7293,563990891,1510,4712475,77333.18127,3120.844371
NSW2086,NSW,2086,8638,703457114,1837,5380925,81437.49873,2929.191617
NSW2087,NSW,2087,7964,699404777,1516,5059077,87820.79068,3337.122032
NSW2088,NSW,2088,20064,3474726692,2983,10332823,173182.1517,3463.903118
NSW2089,NSW,2089,8872,1008891735,1626,4888308,113716.3813,3006.339483
NSW2090,NSW,2090,9561,1140153188,1615,4879765,119250.4119,3021.526316
NSW2092,NSW,2092,4608,617047162,856,3097802,133907.8043,3618.92757
NSW2093,NSW,2093,15337,1710048780,3007,9593997,111498.2578,3190.554373
NSW2094,NSW,2094,4347,481314022,868,2781880,110723.2625,3204.930876
NSW2095,NSW,2095,12244,1485602851,2003,5336490,121333.1306,2664.248627
NSW2096,NSW,2096,10411,1126777406,2349,7411589,108229.5078,3155.210302
NSW2097,NSW,2097,10590,909240037,2279,7296106,85858.36043,3201.450636
NSW2098,NSW,2098,58,4321602,13,44367,74510.37931,3412.846154
NSW2099,NSW,2099,28140,2045510543,6019,16539575,72690.49549,2747.894168
NSW2100,NSW,2100,14442,1153936454,3100,9349648,79901.43013,3016.015484
NSW2101,NSW,2101,12728,1231010830,2838,8566077,96716.75283,3018.349894
NSW2102,NSW,2102,4985,394934343,1239,4062468,79224.54223,3278.828087
NSW2103,NSW,2103,7368,571673151,1448,4242598,77588.64699,2929.970994
NSW2104,NSW,2104,2437,256030802,373,1420305,105059.8285,3807.788204
NSW2105,NSW,2105,1372,147520474,210,880612,107522.2114,4193.390476
NSW2106,NSW,2106,6826,660682779,1435,4752816,96789.15602,3312.066899
NSW2107,NSW,2107,10315,1011869331,1976,6924038,98096.88134,3504.067814
NSW2108,NSW,2108,1275,183386614,168,645488,143832.6384,3842.190476
NSW2110,NSW,2110,6124,1015274584,1073,3796314,165786.1829,3538.037279
NSW2111,NSW,2111,9668,924718967,2135,6327480,95647.39005,2963.690867
NSW2112,NSW,2112,23199,1614730979,4874,12707394,69603.47338,2607.179729
NSW2113,NSW,2113,15160,1088852073,2789,7093206,71824.01537,2543.279312
NSW2114,NSW,2114,15970,1023873144,2788,6690192,64112.28203,2399.638451
NSW2115,NSW,2115,7036,437678843,1620,4104190,62205.63431,2533.450617
NSW2116,NSW,2116,4042,237351382,957,2572238,58721.27214,2687.814002
NSW2117,NSW,2117,12687,763715833,2583,6570617,60196.72365,2543.792877
NSW2118,NSW,2118,16387,966506789,2912,6994144,58980.09331,2401.835165
NSW2119,NSW,2119,7882,712203308,1312,3983347,90358.1969,3036.087652
NSW2120,NSW,2120,13363,994999973,2512,6671314,74459.32597,2655.777866
NSW2121,NSW,2121,21232,1443717703,3279,7770381,67997.25429,2369.74108
NSW2122,NSW,2122,20079,1195799389,3019,7037651,59554.72827,2331.119907
NSW2124,NSW,2124,424,22300294,55,120235,52595.03302,2186.090909
NSW2125,NSW,2125,11158,924989955,2152,6814791,82899.26107,3166.724442
NSW2126,NSW,2126,12182,875025958,2375,6542703,71829.41701,2754.822316
NSW2127,NSW,2127,13084,848160660,2907,7998997,64824.26322,2751.632955
NSW2128,NSW,2128,1403,74226643,306,705877,52905.66144,2306.787582
NSW2129,NSW,2129,67,4765635,14,39021,71128.8806,2787.214286
NSW2130,NSW,2130,5211,420076290,844,1922909,80613.37363,2278.328199
NSW2131,NSW,2131,16006,923119868,2049,4510312,57673.36424,2201.225964
NSW2132,NSW,2132,6514,444359150,1101,2753235,68216.01934,2500.667575
NSW2133,NSW,2133,6544,412308263,1333,3609148,63005.54141,2707.537884
NSW2134,NSW,2134,10335,521208416,1114,2544228,50431.39003,2283.867145
NSW2135,NSW,2135,18907,1289903041,2294,5763244,68223.57016,2512.312119
NSW2136,NSW,2136,4788,295390397,856,2316542,61693.90079,2706.240654
NSW2137,NSW,2137,17718,1425836627,3683,12061533,80473.90377,3274.920717
NSW2138,NSW,2138,12179,807648998,2111,5596401,66314.88612,2651.066319
NSW2140,NSW,2140,13280,695863803,2128,4201629,52399.38276,1974.449718
NSW2141,NSW,2141,18689,877742904,2574,5666840,46965.75012,2201.569542
NSW2142,NSW,2142,15402,704429885,2877,6253117,45736.26055,2173.485228
NSW2143,NSW,2143,5127,255486255,914,2167433,49831.53013,2371.370897
NSW2144,NSW,2144,22478,884405293,3366,7389166,39345.37294,2195.236482
NSW2145,NSW,2145,48497,2901032523,10361,24034163,59818.8037,2319.675997
NSW2146,NSW,2146,11425,648483864,2382,5269889,56760.07562,2212.379933
NSW2147,NSW,2147,20750,1204484115,4786,11920924,58047.42723,2490.790639
NSW2148,NSW,2148,38486,2019667222,8562,19590524,52477.97178,2288.078019
NSW2149,NSW,2149,137,7798876,22,91039,56926.10219,4138.136364
NSW2150,NSW,2150,23936,1396747975,3888,7699391,58353.44147,1980.296039
NSW2151,NSW,2151,12678,820668318,2726,6908808,64731.68623,2534.412326
NSW2152,NSW,2152,6781,441153265,1620,4285400,65057.25778,2645.308642
NSW2153,NSW,2153,36863,2575040504,8330,23610351,69854.33915,2834.37587
NSW2154,NSW,2154,25524,1899126461,5421,16984465,74405.51877,3133.087069
NSW2155,NSW,2155,39825,2885164180,10953,34526929,72446.05599,3152.280562
NSW2156,NSW,2156,8718,785734132,1626,6039310,90127.79674,3714.212792
NSW2157,NSW,2157,2517,178281604,508,1627989,70830.99086,3204.702756
NSW2158,NSW,2158,5668,539409601,1146,3860424,95167.53723,3368.60733
NSW2159,NSW,2159,3289,255807485,623,2050179,77776.67528,3290.817014
NSW2160,NSW,2160,20084,978350813,4022,9943931,48712.94628,2472.384635
NSW2161,NSW,2161,15064,702906411,3234,7572696,46661.33902,2341.588126
NSW2162,NSW,2162,9097,432483373,1701,4088826,47541.31835,2403.777778
