state_sub,State,Suburb,Count_of_listings,Average_Price,Average_Vehicle_Age,Postcode,Latitude,Longitude,Taxable_income_no.,Taxable_income,Total_work_related_car_expenses_no.,Total_work_related_car_expenses,Avg_Income,Avg_WR_car_expense
samclaren flat,SA,Mclaren Flat,1,3200000,11,5171,-35.16,138.59,3746,211174114,835,1902253,56373.22851,2278.147305
nswvaucluse,NSW,Vaucluse,1,849990,61,2030,-33.87,151.28,9741,1953135209,1345,4850946,200506.643,3606.651301
nswsurry hills,NSW,Surry Hills,20,417990,15.1,2010,-33.88,151.22,20404,1961449926,2430,6611938,96130.65703,2720.96214
nswkogarah bay,NSW,Kogarah Bay,1,238000,13,2217,-33.98,151.13,18147,1099531695,3498,8997453,60590.2736,2572.170669
vicrichmond,VIC,Richmond,70,211534,6.33,3121,-37.83,145.01,22590,1900994010,5442,14815503,84152.01461,2722.437155
nswedmondson park,NSW,Edmondson Park,1,165000,4,2174,0,0,4777,301617334,1353,3501144,63139.48796,2587.689579
nswmarrickville,NSW,Marrickville,16,158041,6.75,1475,-33.91,151.15,NULL,NULL,NULL,NULL,NULL,NULL
wanedlands,WA,Nedlands,9,145378,7,6009,-31.98,115.81,11106,1598768078,1578,3851159,143955.3465,2440.531686
qldkaimkillenbun,QLD,Kaimkillenbun,1,140000,4,4406,-27.89,150.6,638,26781204,113,262578,41976.80878,2323.699115
saangaston,SA,Angaston,1,129200,4,5353,-34.5,139.05,2295,118824389,517,973599,51775.3329,1883.170213
ntjingili,NT,Jingili,1,125000,6,810,-12.38,130.88,21269,1424967659,6287,10429333,66997.39804,1658.872753
vicblack rock,VIC,Black Rock,4,124888,29,3193,-37.99,145.03,13318,1308520726,3017,10294903,98252.0443,3412.297978
qldcedar creek,QLD,Cedar Creek,1,119000,2,4207,-27.72,153.27,34063,1748532611,9205,22817180,51332.31398,2478.781097
nswcooranbong,NSW,Cooranbong,1,118000,4,2265,-33.08,151.45,3635,199987737,1032,2545907,55017.25915,2466.964147
sawest lakes shore,SA,West Lakes Shore,1,117500,2,5020,-34.87,138.48,1948,121876711,446,1011220,62565.04671,2267.309417
wafalcon,WA,Falcon,1,117000,54,6210,-32.55,115.75,39506,2402379775,9523,18502712,60810.5041,1942.949911
vicbelgrave heights,VIC,Belgrave Heights,1,115000,8,3160,-37.91,145.36,5688,346688370,1496,3949527,60950.83861,2640.058155
qldninderry,QLD,Ninderry,1,110000,6,4561,-26.53,152.93,5077,276586311,1164,2745360,54478.29643,2358.556701
vicwhittlesea,VIC,Whittlesea,2,110000,2,3757,-37.45,145.11,5230,316054651,1585,4466230,60431.09962,2817.810726
wawarwick,WA,Warwick,1,109900,1,6024,-31.83,115.8,8119,479593444,1943,4020375,59070.50671,2069.158518
vicboort,VIC,Boort,1,109000,4,3537,-36.01,143.67,578,27958338,113,215589,48370.82699,1907.867257
nsweschol park,NSW,Eschol Park,1,107000,1,2558,-34.04,150.81,6442,358550898,1861,4616169,55658.32009,2480.4777
vicwaterways,VIC,Waterways,1,102000,5,3195,-38.03,145.1,22929,1603774842,6538,17885005,69945.25893,2735.546803
nswbaulkham hills,NSW,Baulkham Hills,18,98564,20.44,1755,-33.77,150.97,66,4039192,16,38817,61199.87879,2426.0625
qldforest glen,QLD,Forest Glen,1,97777,4,4556,-26.69,153.05,27287,1601231140,6551,15058866,58681.09869,2298.712563
nswloomberah,NSW,Loomberah,1,95000,3,2340,-30.96,150.83,28895,1518751775,6922,13471438,52561.05814,1946.177116
