Row Labels,Count of Suburb,Average of Price,Average of Vehicle Age
actbarton,1,20000,11
actbelconnen,137,32343.08029,4.759124088
actbonython,1,36500,3
actbraddon,2,11100,10
actbruce,1,10000,17
actcalwell,2,43745,9
actcampbell,4,13250,14
actcanberra,12,34289.08333,9.416666667
actcapital hill,1,10500,8
actcharnwood,1,10000,9
actchisholm,2,13245,13.5
actcook,2,33000,7
actcoombs,1,38900,1
actcrace,2,12000,9
actcurtin,3,23830,8.333333333
actdickson,1,38000,1
actdowner,3,9298.333333,15.33333333
actfadden,1,42000,6
actflorey,1,3500,20
actfyshwick,253,31359.67194,9.37944664
actgarran,1,17500,7
actgordon,1,19500,15
actgreenway,49,30607.95918,4.469387755
actgriffith,3,30059.66667,6
actgungahlin,36,32010.05556,5.055555556
actharrison,1,6900,13
acthume,10,28392,6.6
actkambah,3,13490,10.33333333
actkingston,2,13100,12
actlennock hyundaiphillip,16,20056.1875,6.8125
actlyons,1,11000,12
actmacgregor,2,25249.5,8.5
actmitchell,2,19490,10
actmoncrieff,1,9500,13
actngunnawal,1,11000,11
actpearce,1,24990,5
actphillip,366,35056.50416,5.521857923
actreid,1,16000,3
actsymonston,1,23000,4
acttaylor,1,27000,7
acttorrens,1,55000,6
acttuggeranong,1,28000,3
actturner,1,10990,10
actwaramanga,1,59500,6
actweetangera,1,16000,6
actweston,1,35000,3
actwoden,1,16000,10
actyarralumla,3,34166.66667,7
hyundaicol crawford mg,4,21865,4.25
nswabbotsford,1,12000,10
nswaberglasslyn,1,28000,5
nswadamstown,13,11182.30769,10
nswalbion park,160,27709.21875,4.2125
nswalbion park rail,28,23347.14286,6.25
nswalbury,5,20298,8.8
nswalexandria,52,94567.96154,5.365384615
nswalfords point,2,33000,5.5
nswallambie,3,6333.333333,12.66666667
nswalto skoda artarmonartarmon,8,36089.5,4.875
nswambarvale,1,18000,6
nswannandale,1,14990,8
nswargyle,2,6495,12.5
nswarmidale,87,22833.18605,9.367816092
nswarncliffe,144,25724.09722,9.368055556
nswarndell park,37,29279.72973,5.945945946
nswarrawarra,1,22000,18
nswartarmon,178,61643.86517,6.730337079
nswashfield,2,33500,10.5
nswashtonfield,1,9250,12
nswauburn,54,43002.85185,10.05555556
nswaustinmer,1,18400,2
nswavoca,1,8000,18
nswavoca beach,1,3500,18
nswballina,19,16502.77778,12.47368421
nswbangalow,1,28000,10
nswbanksia,1,10500,8
nswbanksmeadow,5,15450,12.2
nswbankstown,108,22480.92593,7.685185185
nswbankstown square,1,6000,9
nswbarden ridge,1,18500,10
nswbarrack heights,1,5300,12
nswbass hill,35,12331.91429,13.82857143
nswbatehaven,1,17000,8
nswbatemans bay,34,30386.17647,7.5
nswbatemans bay toyotabatemans bay,4,27663.5,2.25
nswbathurst,33,27903.33333,7.121212121
nswbaulkham hills,18,98563.83333,20.44444444
nswbawley point,1,3600,24
nswbayview,1,16900,9
nswbeaumont hills,1,64550,5
nswbeecroft,1,14500,6
nswbega,20,26127.25,5.4
nswbelfield,1,14999,7
nswbellingen,2,8000,13.5
nswbelmont,4,20250,7.5
nswbelmore,31,35735.93548,4.935483871
nswbelrose,2,24200,7.5
nswbendemeer,1,41000,14
nswbensville,2,11700,8
nswberala,1,11500,12
nswberesfield,48,23491.66667,8.458333333
nswberkeley vale,3,7656.666667,15.33333333
nswberowra,3,39333.33333,7
nswberry,1,21500,9
nswbeverly hills,18,17712.22222,9.222222222
nswbexley,3,16916.66667,11.33333333
nswbilambil heights,2,10350,17
nswbilgola,2,20990,11
nswbilpin,2,12250,17.5
nswblacktown,286,28935.91228,7.234265734
nswblakehurst,31,74793.83871,5.774193548
nswblayney,1,27999,4
nswbligh park,1,67950,4
nswblue haven,2,28250,9.5
nswboambee,1,18990,6
nswboambee east,2,46500,8
nswboat harbour,1,17999,13
nswbobbin head,1,13950,9
nswbogangar,1,36900,6
nswbomaderry,1,15000,7
nswbondi,1,12000,12
nswbondi beach,3,15483.33333,12.33333333
nswbonnet bay,1,37990,3
nswbonny hills,1,49000,2
nswbonnyrigg heights,1,12800,16
nswbonville,2,7250,12
nswbooker bay,2,13420,11.5
nswbooth's motor group north gosford usednorth gosford,5,21590,6.8
nswbooth's motor group tuggerah usedtuggerah,9,24711.11111,5.555555556
nswbossley park,1,32999,4
nswbotany,2,24950,8
nswbowen mountain,2,14245,13.5
nswbowenfels,1,23000,8
nswbowral,7,20907.14286,8.857142857
nswbox hill,2,14700,10
nswbradbury,2,4000,18.5
nswbrandy hill,1,30000,7
nswbreakfast point,1,11500,13
nswbrighton-le-sands,7,26070,9.285714286
nswbroadmeadow,23,13688.3913,11.47826087
nswbroadwater,1,19800,14
nswbroken hill,2,13000,23
nswbrooklana,1,8500,13
nswbrookvale,160,31568.8625,7.28125
nswbucca,1,6200,12
nswbudgewoi,1,34000,5
nswbundanoon,2,35495,8
nswbungarribee,1,49990,1
nswbungendore,3,18653.33333,11.66666667
nswburraneer,1,7800,21
nswburrill lake,2,60000,11
