State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
ACT,2600,5909,668405382,1062,2597163,113116.49720764934,2445.539548022599
ACT,2601,3046,199996768,344,650441,65658.82074852266,1890.8168604651162
ACT,2602,21123,1609450057,3866,6784939,76194.1985986839,1755.028194516296
ACT,2603,6921,833462528,1305,3179504,120425.15937003323,2436.40153256705
ACT,2604,8430,776610757,1807,3398902,92124.64495848161,1880.9640287769785
ACT,2605,7785,712584101,1498,2922622,91532.96095054592,1951.0160213618158
ACT,2606,7189,546627373,1502,2842069,76036.6355543191,1892.1897470039946
ACT,2607,9564,777246264,1907,3777479,81267.90715181932,1980.8489774514944
ACT,2608,69,5391370,13,19707,78135.79710144928,1515.923076923077
ACT,2609,585,41895143,140,270441,71615.62905982907,1931.7214285714285
ACT,2610,68,3675638,16,32391,54053.5,2024.4375
ACT,2611,20581,1580143660,4560,8905794,76776.81648122055,1953.025
ACT,2612,11381,948414635,1984,3446737,83333.1548194359,1737.266633064516
ACT,2614,13029,936259236,2450,4531586,71859.63895924477,1849.62693877551
ACT,2615,28465,1866007317,6647,12534596,65554.44640786931,1885.7523694899955
ACT,2616,141,10540741,26,58218,74757.02836879433,2239.153846153846
ACT,2617,23463,1533512471,4837,8930210,65358.75510378042,1846.2290676038867
ACT,2900,2145,147334008,491,868586,68687.18321678322,1769.0142566191446
ACT,2901,81,6547460,16,34359,80832.83950617284,2147.4375
ACT,2902,9837,664143184,2090,4088468,67514.8097997357,1956.2047846889952
ACT,2903,6149,417426878,1301,2490062,67885.32737030412,1913.9600307455803
ACT,2904,8708,634830461,1924,3636991,72901.98220027561,1890.3279625779626
ACT,2905,18849,1260923266,4593,9229578,66896.02981590535,2009.4879163945134
ACT,2906,11685,798941304,2992,5923956,68373.23953786906,1979.9318181818182
ACT,2911,3066,236125660,893,1757878,77014.24005218525,1968.508398656215
ACT,2912,4882,295600043,1120,2056860,60548.96415403523,1836.482142857143
ACT,2913,24209,1681323431,6236,11925744,69450.34619356437,1912.4028223220014
ACT,2914,19224,1372893895,5442,10625608,71415.62083853516,1952.5189268651231
ACT,ACT other,234,15506202,63,166352,66265.82051282052,2640.5079365079364
NSW,1225,54,24078839,7,43130,445904.4259259259,6161.428571428572
NSW,1230,50,3985878,2,8897,79717.56,4448.5
NSW,1235,56,3515518,6,14416,62777.107142857145,2402.6666666666665
NSW,1240,58,3186062,5,7861,54932.10344827586,1572.2
NSW,1335,60,9108889,9,35729,151814.81666666668,3969.8888888888887
NSW,1355,135,9493241,21,53960,70320.3037037037,2569.5238095238096
NSW,1360,67,8654061,6,32298,129165.0895522388,5383.0
NSW,1455,49,3827459,8,36241,78111.40816326531,4530.125
NSW,1481,61,4686450,7,35043,76827.04918032787,5006.142857142857
NSW,1485,56,2956782,10,20623,52799.67857142857,2062.3
NSW,1495,76,6049004,12,34840,79592.15789473684,2903.3333333333335
NSW,1499,50,5913292,4,2891,118265.84,722.75
NSW,1585,62,5487674,10,46561,88510.87096774194,4656.1
NSW,1655,71,15093664,9,32681,212586.81690140846,3631.222222222222
NSW,1660,64,5181581,12,31411,80962.203125,2617.5833333333335
NSW,1675,48,5061035,8,61793,105438.22916666667,7724.125
NSW,1710,65,3381133,7,44266,52017.43076923077,6323.714285714285
NSW,1750,51,2932893,15,34825,57507.705882352944,2321.6666666666665
NSW,1755,66,4039192,16,38817,61199.878787878784,2426.0625
NSW,1765,77,5013992,13,45541,65116.77922077922,3503.153846153846
NSW,1871,71,3973368,19,73000,55962.92957746479,3842.1052631578946
NSW,2000,23056,1816478952,1417,3908263,78785.52012491325,2758.1249117854622
NSW,2001,298,32021329,31,89332,107454.12416107382,2881.6774193548385
NSW,2002,67,3548965,7,21983,52969.62686567164,3140.4285714285716
NSW,2006,74,5450351,10,32537,73653.3918918919,3253.7
NSW,2007,4807,244913527,403,959172,50949.35032244643,2380.0794044665013
NSW,2008,6295,380727305,598,1312117,60480.90627482129,2194.1755852842807
NSW,2009,9335,841997005,1119,3300299,90197.85806106053,2949.3288650580876
NSW,2010,20404,1961449926,2430,6611938,96130.65702803372,2720.9621399176954
NSW,2011,14402,1537743408,1785,5177684,106772.90709623664,2900.663305322129
NSW,2012,105,9136363,24,72369,87012.98095238095,3015.375
NSW,2013,80,6199113,26,90693,77488.9125,3488.1923076923076
NSW,2014,78,7544330,17,55777,96722.17948717948,3281.0
NSW,2015,7940,693419456,1475,3604298,87332.42518891688,2443.5918644067797
NSW,2016,8923,730472223,1259,3194282,81863.97209458702,2537.158061953932
NSW,2017,16422,1164616068,3034,8242406,70918.04092071611,2716.6796308503626
NSW,2018,11277,716483778,2203,5915865,63534.96302208034,2685.367680435769
NSW,2019,8044,576722083,2165,6195152,71695.93274490304,2861.50207852194
NSW,2020,13364,777080452,2438,6272439,58147.29512122119,2572.7805578342904
NSW,2021,10849,1508308537,1749,5347329,139027.4252926537,3057.3636363636365
NSW,2022,9589,943457191,1414,4123163,98389.52873083742,2915.9568599717113
NSW,2023,7319,1283019779,1162,3966594,175299.87416313705,3413.592082616179
NSW,2024,7637,1053449010,1410,4475148,137940.16105800707,3173.863829787234
NSW,2025,5193,963306945,788,2617475,185501.04852686307,3321.6687817258885
NSW,2026,24207,2531038192,4519,14053349,104558.11095963977,3109.836025669396
NSW,2027,5966,1209245883,740,2471433,202689.55464297687,3339.7743243243244
NSW,2028,3536,723678474,560,1957139,204660.20192307694,3494.8910714285716
NSW,2029,7008,916941389,1270,4303977,130842.09317922374,3388.9582677165354
NSW,2030,9741,1953135209,1345,4850946,200506.64295246894,3606.6513011152415
NSW,2031,23043,2288151404,4528,12723729,99299.19732673698,2810.0108215547702
NSW,2032,8153,553521975,1204,3199080,67891.8158959892,2657.043189368771
NSW,2033,7379,566622443,1187,3356285,76788.51375525139,2827.535804549284
NSW,2034,14475,1448408969,3038,9050888,100062.79578583765,2979.2258064516127
NSW,2035,22157,1796298852,4336,11810233,81071.39287809722,2723.7622232472327
NSW,2036,18330,1295667079,4257,11432462,70685.60169121658,2685.5677707305613
NSW,2037,10448,920565294,1389,3487985,88109.2356431853,2511.148308135349
NSW,2038,6325,636240822,1191,3488216,100591.43430830039,2928.8127623845508
NSW,2039,5926,672734953,1282,4040873,113522.60428619642,3152.007020280811
NSW,2040,14246,1360855992,2926,8470659,95525.48027516495,2894.962064251538
NSW,2041,11103,1492748112,1981,6601061,134445.47527695217,3332.186269560828
NSW,2042,13564,1080909623,1934,4577786,79689.59178708345,2367.0041365046536
NSW,2043,6674,609594796,1147,2891450,91338.7467785436,2520.880557977332
NSW,2044,5522,394419176,1036,2606966,71426.86997464686,2516.376447876448
NSW,2045,4101,413659861,710,2180786,100868.04706169227,3071.529577464789
NSW,2046,16984,1519545498,3851,12416026,89469.23563353745,3224.1043884705273
NSW,2047,8025,806789934,1699,5364500,100534.57121495328,3157.445556209535
NSW,2048,5287,445019035,893,2231122,84172.3160582561,2498.4568868980964
NSW,2049,8067,648729393,1304,2980807,80417.67608776496,2285.894938650307
NSW,2050,5813,497462498,941,2328071,85577.5843798383,2474.039319872476
NSW,2052,130,2858075,5,8745,21985.19230769231,1749.0
NSW,2057,175,14299551,31,169245,81711.72,5459.5161290322585
NSW,2059,182,21760340,30,125840,119562.30769230769,4194.666666666667
NSW,2060,11087,1421901382,1572,4589339,128249.42563362497,2919.426844783715
NSW,2061,4510,667933473,622,1973997,148100.54833702883,3173.628617363344
NSW,2062,4774,563353469,931,3005641,118004.49706744868,3228.4006444683137
NSW,2063,4361,742155146,603,2255997,170180.03806466406,3741.2885572139303
NSW,2064,6410,580404656,861,2116423,90546.74820592823,2458.0987224157957
NSW,2065,22388,2408371646,3631,10351615,107574.22038592103,2850.89920132195
NSW,2066,22078,2393873876,4376,12642115,108428.02228462724,2888.965950639854
NSW,2067,17452,1421437271,2107,5358159,81448.38820765528,2543.0275272899858
NSW,2068,11060,1387531694,1845,5953834,125454.9452079566,3227.010298102981
NSW,2069,9813,1199615695,1373,4192518,122247.59961275858,3053.5455207574655
NSW,2070,9483,1088087254,1415,4200516,114740.82610988084,2968.562544169611
NSW,2071,8996,1009179947,1264,3586155,112180.96342819031,2837.1479430379745
NSW,2072,5677,542264678,753,1957305,95519.58393517703,2599.3426294820715
NSW,2073,11133,1234950200,1813,5743448,110926.99182610257,3167.9249862107004
NSW,2074,15027,1637446718,2433,7515469,108966.97398016903,3088.972050965886
NSW,2075,13713,1355107312,2323,7761581,98819.17246408518,3341.188549289712
NSW,2076,15915,1532191503,2738,8135849,96273.42148916116,2971.456902848795
NSW,2077,26471,1712212483,4464,9641020,64682.57651769862,2159.7267025089604
NSW,2079,4990,346169559,1017,2581903,69372.65711422845,2538.7443461160274
NSW,2080,1117,73890173,198,435160,66150.55774395703,2197.777777777778
NSW,2081,3440,239782620,702,1987285,69704.25,2830.890313390313
NSW,2082,3367,229926689,678,1965892,68288.29492129492,2899.5457227138645
NSW,2083,1034,68240488,190,422229,65996.60348162476,2222.257894736842
NSW,2084,2520,262101793,464,1650459,104008.64801587301,3557.0237068965516
NSW,2085,7293,563990891,1510,4712475,77333.18126971068,3120.844370860927
NSW,2086,8638,703457114,1837,5380925,81437.49872655707,2929.191616766467
NSW,2087,7964,699404777,1516,5059077,87820.79068307384,3337.122031662269
