Listing Type,USED Dealer ad
,
Row Labels,Count of Suburb
Victoria Park,1241
Minchinbury,1175
Wangara,1108
Bentley,831
Hoppers Crossing,715
Berwick,687
Welshpool,598
Osborne Park,526
Ringwood,525
Southport,511
Moorabbin,420
Geelong,412
Rockingham,410
Launceston,404
Moorooka,379
Slacks Creek,375
Phillip,365
Maddington,358
Cheltenham,349
Cannington,344
Port Melbourne,342
Kedron,337
Cardiff,318
Hendra,312
Midland,309
Melville,297
Mornington,296
Springwood,287
Port Macquarie,281
Toowoomba,278
Blacktown,276
Elsternwick,271
Canning Vale,263
Castle Hill,259
Frankston,256
Fyshwick,253
Penrith,251
Brooklyn,247
Jandakot,242
Ravenhall,235
Hobart,235
Pakenham,234
Deer Park,231
Garbutt,224
Five Dock,220
Campbelltown,218
Kenwick,212
Ferntree Gully,212
Dandenong,211
West Footscray,206
Mount Gambier,205
Maroochydore,203
Townsville,201
Wodonga,200
Toowoomba City,199
Ballarat,199
Edgewater,193
Liverpool,190
Pinkenba,187
Laverton North,186
Traralgon,185
Seaford,184
Hillcrest,183
Morphett Vale,181
Winnellie,179
Cairns,179
Epping,179
Derwent Park,178
Bundoora,178
East Maitland,177
Mackay,176
Artarmon,176
Oakleigh,175
Fawkner,175
Granville,174
Narre Warren,170
Morayfield,161
Mile End,161
Maryville,159
Salisbury,158
Brookvale,157
Albion Park,157
Eagle Farm,156
Gawler,155
South Melbourne,154
John Hughes PassengerVictoria Park,153
Beckenham,151
Underwood,150
Bayswater,149
Chatswood,148
Devonport,146
Werribee,143
Blair Athol,143
Rozelle,142
Thomastown,141
Arncliffe,141
Hamilton,140
Warwick Farm,139
Mount Gravatt,139
Adelaide,138
KINGSLEY,138
Noosaville,137
Belconnen,137
Gladstone,136
Homebush,136
Ashmore,134
Coburg North,134
Archerfield,134
Prospect,132
Berrimah,132
Essendon Fields,131
Greenacre,131
Enfield,129
Christies Beach,128
Sylvania,126
Seven Hills,124
Coffs Harbour,124
Aspley,124
Clontarf,122
Waterloo,120
Morley,119
Sutherland,119
Wollongong,118
Nundah,118
Hamilton North,116
Lilydale,114
Clarkson,114
Taree,111
Croydon,110
Mulgrave,108
Parramatta,108
Saint Marys,108
Myaree,108
West Ryde,107
Cranbourne,107
Goulburn,106
Robina,105
Braybrook,105
Acacia Ridge,104
Minto,103
SOUTH MORANG,103
Brendale,103
Chermside,103
Richmond,101
Tuggerah,101
Zetland,101
Gepps Cross,101
Springvale,100
Melbourne,100
Glen Waverley,100
Bankstown,100
Arundel,100
North Lakes,99
Altona North,99
Wendouree,98
South Nowra,97
Preston,94
Coopers Plains,94
Klemzig,94
Dubbo,93
Epsom,92
Revesby,91
Bendigo,91
Kingswood,90
CAMBERWELL,88
Maidstone,87
Haberfield,87
Nowra,84
Greenfields,84
Chullora,84
Mcgraths Hill,83
Mordialloc,83
Camdale,83
Armidale,83
Lansvale,82
Biloela,81
Glenorchy,81
Mandurah,80
Mayfield West,80
Shepparton,79
Villawood,78
Ipswich,78
Camden,78
Molendinar,76
Currimundi,76
Woodridge,75
Seymour,75
Windsor Gardens,75
Pennant Hills,73
Sunbury,73
Strathpine,73
Macksville,73
Rocklea,72
Somerton Park,72
